股票编号,日期,流动资产,速动资产,流动负债
00072,2015-12,1690.7,40500.0,17800.0
00072,2015-06,3295.2,43500.0,19800.0
00076,2018-06,217100.0,271900.0,42200.0
00076,2017-12,221000.0,269300.0,52400.0
00076,2017-06,229300.0,283800.0,61200.0
00076,2016-12,235900.0,308800.0,91900.0
00076,2016-06,8250.54,246100.0,23800.0
00076,2015-12,12300.0,238800.0,25800.0
00076,2015-06,16299.999999999998,102000.0,33700.0
00076,2014-12,13700.000000000002,85399.99999999999,29500.0
00078,2018-12,22500.0,521000.0,146300.0
00078,2018-06,28300.0,539800.0,167200.0
00078,2017-12,23300.0,527200.0,318600.0
00078,2017-06,20500.0,554300.0,467200.0
00078,2016-12,26600.0,587200.0,271500.0
00078,2016-06,25299.999999999996,432800.0,84500.0
00078,2015-12,43000.0,395800.0,62000.0
00078,2015-06,39700.0,265500.0,47800.0
00079,2018-12,6.13,18700.0,18300.0
00079,2018-06,3.46,18900.0,17900.0
00079,2017-12,4.6,24300.0,21500.0
00079,2017-06,4.6,24500.0,21800.0
00079,2016-12,4.56,24300.0,23200.0
00079,2016-06,4.27,23700.0,21600.0
00079,2015-12,4.44,23700.0,22900.0
00079,2015-06,4.57,23500.0,20700.0
00081,2018-12,5930500.0,9920200.0,6228900.0
00081,2018-06,4804400.0,8919300.0,5168600.0
00081,2017-12,4548700.0,7500500.0,4557800.0
00081,2017-06,4337600.0,7019000.0,4160800.0
00081,2016-12,4384300.0,6871500.0,4339700.0
00081,2016-06,2624400.0,4195700.0,2190200.0
00081,2015-12,2888300.0,4409800.0,2422100.0
00081,2015-06,2745899.9999999995,4209200.0,2089800.0
00083,2018-12,2309700.0,5038600.0,894400.0
00083,2018-06,2280800.0,4489000.0,1022800.0
00083,2017-12,1962700.0,5071400.0,1078500.0
00083,2017-06,2159100.0,5289700.0,1740300.0
00083,2016-12,2150600.0,5031700.0,1685900.0
00083,2016-06,2315400.0,4981700.0,1508500.0
00083,2015-12,2201700.0,4390400.0,1286699.9999999998
00083,2015-06,2179500.0,4038000.0,1012800.0
00084,2018-09,56500.0,113600.0,97100.00000000001
00084,2018-03,53800.0,150900.0,128200.0
